"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 06 13:47:58 UTC 2025","Sat Sep 06 13:48:00 UTC 2025","1566","","test_form","TestLoginForm","","","test_successful_login","
        Тест успешной авторизации.
        
        Проверяет:
        - Успешный вход с корректными данными
        - Отображение сообщения об успехе
        - Переход на защищённую страницу
        - Появление кнопки выхода
        
        Args:
            driver: Фикстура WebDriver
        "
"passed","Sat Sep 06 13:48:33 UTC 2025","Sat Sep 06 13:48:33 UTC 2025","398","","test_form_with_allure","TestLoginForm","","","Проверка наличия элементов интерфейса","
    Тест проверяет наличие всех необходимых элементов на странице авторизации.
    
    Проверяемые элементы:
    - Поле для ввода логина
    - Поле для ввода пароля
    - Кнопка входа
    - Корректность заголовка страницы
    "
"passed","Sat Sep 06 13:48:15 UTC 2025","Sat Sep 06 13:48:15 UTC 2025","400","","test_form","TestLoginForm","","","test_ui_elements_presence","
        Тест наличия всех элементов на странице авторизации.
        
        Проверяет:
        - Наличие поля логина
        - Наличие поля пароля  
        - Наличие кнопки входа
        - Корректность заголовка страницы
        
        Args:
            driver: Фикстура WebDriver
        "
"passed","Sat Sep 06 13:48:29 UTC 2025","Sat Sep 06 13:48:30 UTC 2025","687","","test_form_with_allure","TestLoginForm","","","Авторизация с пустыми учётными данными","
    Тест проверяет обработку попытки авторизации с пустыми полями.
    
    Шаги:
    1. Открыть страницу авторизации
    2. Оставить поля пустыми
    3. Нажать кнопку входа
    4. Проверить обработку ошибки
    "
"passed","Sat Sep 06 13:48:12 UTC 2025","Sat Sep 06 13:48:13 UTC 2025","672","","test_form","TestLoginForm","","","test_empty_credentials_login","
        Тест авторизации с пустыми данными.
        
        Проверяет:
        - Обработку пустых полей
        - Отображение соответствующего сообщения об ошибке
        
        Args:
            driver: Фикстура WebDriver
        "
"passed","Sat Sep 06 13:48:00 UTC 2025","Sat Sep 06 13:48:11 UTC 2025","10719","","test_form","TestLoginForm","","","test_unsuccessful_login","
        Тест неуспешной авторизации.
        
        Проверяет:
        - Блокировку входа с некорректными данными
        - Отображение сообщения об ошибке
        - Остаемся на странице логина
        - Отсутствие кнопки выхода
        
        Args:
            driver: Фикстура WebDriver
        "
"passed","Sat Sep 06 13:48:16 UTC 2025","Sat Sep 06 13:48:17 UTC 2025","737","","test_form_with_allure","TestLoginForm","","","Успешная авторизация с корректными данными","
    Тест проверяет успешную авторизацию пользователя с корректными учётными данными.
    
    Шаги:
    1. Открыть страницу авторизации
    2. Ввести корректное имя пользователя
    3. Ввести корректный пароль
    4. Нажать кнопку входа
    5. Проверить успешную авторизацию
    "
"passed","Sat Sep 06 13:48:18 UTC 2025","Sat Sep 06 13:48:29 UTC 2025","10735","","test_form_with_allure","TestLoginForm","","","Неуспешная авторизация с некорректными данными","
    Тест проверяет блокировку авторизации при использовании некорректных учётных данных.
    
    Шаги:
    1. Открыть страницу авторизации
    2. Ввести некорректное имя пользователя
    3. Ввести некорректный пароль
    4. Нажать кнопку входа
    5. Проверить неуспешную авторизацию и сообщение об ошибке
    "
"passed","Sat Sep 06 13:48:13 UTC 2025","Sat Sep 06 13:48:14 UTC 2025","758","","test_form","TestLoginForm","","","test_invalid_password_valid_username","
        Тест с корректным логином но неверным паролем.
        
        Проверяет:
        - Обработку случая с правильным логином и неверным паролем
        - Специфичное сообщение об ошибке пароля
        
        Args:
            driver: Фикстура WebDriver
        "
"passed","Sat Sep 06 13:48:31 UTC 2025","Sat Sep 06 13:48:32 UTC 2025","726","","test_form_with_allure","TestLoginForm","","","Авторизация с корректным логином и неверным паролем","
    Тест проверяет обработку случая, когда логин корректный, но пароль неверный.
    
    Шаги:
    1. Открыть страницу авторизации
    2. Ввести корректный логин
    3. Ввести неверный пароль
    4. Нажать кнопку входа
    5. Проверить специфичное сообщение об ошибке пароля
    "
